,Date,Country,City,Specie,count,min,max,median,variance
61,23/08/2020,VN,Ho Chi Minh City,temperature,24,27.5,34.0,28.0,54.56
62,20/11/2020,VN,Ho Chi Minh City,temperature,24,26.0,32.0,27.5,43.7
63,27/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.5,27.0,31.74
64,05/12/2020,VN,Ho Chi Minh City,temperature,24,21.5,32.0,26.5,125.22
65,18/08/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.0,28.5,81.94
66,04/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,34.0,29.5,77.89
67,28/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.5,27.5,29.11
68,17/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,34.0,27.0,48.44
69,04/07/2020,VN,Ho Chi Minh City,temperature,24,26.0,32.0,28.5,51.88
70,13/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.0,25.5,54.71
71,08/04/2020,VN,Ho Chi Minh City,temperature,24,27.5,34.5,29.0,41.52
72,04/05/2020,VN,Ho Chi Minh City,temperature,24,28.5,35.0,30.0,40.14
73,07/06/2020,VN,Ho Chi Minh City,temperature,24,26.5,35.5,29.0,82.79
74,18/06/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.5,30.0,81.41
75,21/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.0,27.0,30.8
76,19/09/2020,VN,Ho Chi Minh City,temperature,23,23.0,30.0,25.0,31.64
77,29/05/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.5,28.0,77.57
78,13/07/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.5,27.0,38.44
79,15/07/2020,VN,Ho Chi Minh City,temperature,24,24.0,32.5,29.0,93.41
80,01/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,28.0,53.68
81,08/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.5,26.5,52.75
82,05/01/2020,VN,Ho Chi Minh City,temperature,24,22.5,32.5,27.0,86.08
83,26/04/2020,VN,Ho Chi Minh City,temperature,24,25.0,35.0,26.0,139.42
84,11/05/2020,VN,Ho Chi Minh City,temperature,24,30.0,35.5,31.0,43.11
85,03/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,28.0,47.81
86,24/10/2020,VN,Ho Chi Minh City,temperature,24,26.0,32.5,27.0,48.36
87,29/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,26.0,49.55
88,03/11/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,28.0,64.84
89,08/11/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,27.5,60.54
90,28/01/2020,VN,Ho Chi Minh City,temperature,24,24.0,32.0,26.0,80.42
91,21/04/2020,VN,Ho Chi Minh City,temperature,24,27.0,36.5,29.5,97.93
92,20/05/2020,VN,Ho Chi Minh City,temperature,24,27.0,33.0,28.0,25.0
93,09/01/2021,VN,Ho Chi Minh City,temperature,24,23.0,32.5,26.0,87.59
94,25/08/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,30.0,94.13
95,14/11/2020,VN,Ho Chi Minh City,temperature,24,23.0,33.0,28.0,113.89
96,15/11/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,27.5,61.05
97,03/02/2020,VN,Ho Chi Minh City,temperature,24,21.5,33.0,27.0,138.47
98,17/05/2020,VN,Ho Chi Minh City,temperature,24,29.0,35.5,30.0,49.06
99,22/05/2020,VN,Ho Chi Minh City,temperature,24,28.5,35.5,30.0,52.6
100,17/08/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,29.0,74.09
101,20/12/2020,VN,Ho Chi Minh City,temperature,24,23.0,29.5,25.0,56.07
102,12/01/2020,VN,Ho Chi Minh City,temperature,24,24.5,32.0,26.5,49.18
103,27/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.0,28.0,65.92
104,24/06/2020,VN,Ho Chi Minh City,temperature,24,24.5,34.5,28.0,93.26
105,08/02/2020,VN,Ho Chi Minh City,temperature,24,22.0,34.5,27.0,177.01
106,08/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.5,28.0,103.19
107,10/05/2020,VN,Ho Chi Minh City,temperature,24,29.0,36.5,30.0,68.04
108,09/06/2020,VN,Ho Chi Minh City,temperature,24,24.5,34.0,29.0,75.85
109,26/09/2020,VN,Ho Chi Minh City,temperature,24,24.0,31.0,26.5,58.22
