Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/ 1M pop	Population
20220310	World	455056951	1694100.0	6057327.0	6020.0	389005207.0	1464293.0	59994417.0	66437.0	58380.0	777.1			
20220310	Europe	164042100	799729.0	1736456.0	2146.0	144509210.0	841155.0	17796434.0	12150.0					
20220310	North America	95656193	59310.0	1424631	1303.0	68527136.0	186917.0	25704426.0	10527.0					
20220310	Asia	124484707	686367.0	1369361.0	1696.0	111892972.0	347800.0	11222374.0	29551.0					
20220310	South America	55138045	86119.0	1266986.0	749.0	49713616.0	44497.0	4157443.0	12490.0					
20220310	Africa	11618018	6294.0	251670.0	94.0	10774374.0	5100.0	591974.0	1567.0					
20220310	Oceania	4117167	56281.0	8208.0	32.0	3587193.0	38824.0	521766.0	152.0					
