Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/ 1M pop	Population
20220312	World	458152344	1326781.0	6065723.0	3514.0	391485108.0	1125728.0	60601513.0	65437.0	58777.0	778.2			
20220312	Europe	165073421	512768.0	1739008.0	1050.0	145598662.0	487082.0	17735751.0	11996.0					
20220312	North America	95700383	14848.0	1425933	349.0	68872954.0	170025.0	25401496.0	10165.0					
20220312	Asia	126290319	715958.0	1372764.0	1724.0	112558474.0	318265.0	12359081.0	29190.0					
20220312	South America	55244264	36800.0	1268002.0	334.0	50002069.0	121354.0	3974193.0	12373.0					
20220312	Africa	11630827	1725.0	251743.0	31.0	10783849.0	5388.0	595235.0	1554.0					
20220312	Oceania	4212409	44682.0	8258.0	26.0	3668394.0	23614.0	535757.0	159.0					
